group,model_family,correct,bin_low,bin_high,count,group_total,share
AR: correct answers,AR,True,0.0,0.1,1,686,0.0014577259475218659
AR: correct answers,AR,True,0.1,0.2,0,686,0.0
AR: correct answers,AR,True,0.2,0.3,0,686,0.0
AR: correct answers,AR,True,0.3,0.4,0,686,0.0
AR: correct answers,AR,True,0.4,0.5,0,686,0.0
AR: correct answers,AR,True,0.5,0.6,0,686,0.0
AR: correct answers,AR,True,0.6,0.7,1,686,0.0014577259475218659
AR: correct answers,AR,True,0.7,0.8,19,686,0.027696793002915453
AR: correct answers,AR,True,0.8,0.9,101,686,0.14723032069970846
AR: correct answers,AR,True,0.9,1.0,564,686,0.8221574344023324
AR: wrong answers,AR,False,0.0,0.1,7,1535,0.004560260586319218
AR: wrong answers,AR,False,0.1,0.2,0,1535,0.0
AR: wrong answers,AR,False,0.2,0.3,0,1535,0.0
AR: wrong answers,AR,False,0.3,0.4,0,1535,0.0
AR: wrong answers,AR,False,0.4,0.5,0,1535,0.0
AR: wrong answers,AR,False,0.5,0.6,2,1535,0.0013029315960912053
AR: wrong answers,AR,False,0.6,0.7,6,1535,0.003908794788273616
AR: wrong answers,AR,False,0.7,0.8,39,1535,0.025407166123778503
AR: wrong answers,AR,False,0.8,0.9,270,1535,0.1758957654723127
AR: wrong answers,AR,False,0.9,1.0,1211,1535,0.7889250814332247
DLM: correct answers,DLM,True,0.0,0.1,0,1317,0.0
DLM: correct answers,DLM,True,0.1,0.2,0,1317,0.0
DLM: correct answers,DLM,True,0.2,0.3,0,1317,0.0
DLM: correct answers,DLM,True,0.3,0.4,0,1317,0.0
DLM: correct answers,DLM,True,0.4,0.5,0,1317,0.0
DLM: correct answers,DLM,True,0.5,0.6,0,1317,0.0
DLM: correct answers,DLM,True,0.6,0.7,0,1317,0.0
DLM: correct answers,DLM,True,0.7,0.8,11,1317,0.008352315869400152
DLM: correct answers,DLM,True,0.8,0.9,35,1317,0.026575550493545937
DLM: correct answers,DLM,True,0.9,1.0,1271,1317,0.9650721336370539
DLM: wrong answers,DLM,False,0.0,0.1,2,784,0.002551020408163265
DLM: wrong answers,DLM,False,0.1,0.2,1,784,0.0012755102040816326
DLM: wrong answers,DLM,False,0.2,0.3,35,784,0.044642857142857144
DLM: wrong answers,DLM,False,0.3,0.4,9,784,0.011479591836734694
DLM: wrong answers,DLM,False,0.4,0.5,15,784,0.01913265306122449
DLM: wrong answers,DLM,False,0.5,0.6,3,784,0.003826530612244898
DLM: wrong answers,DLM,False,0.6,0.7,29,784,0.036989795918367346
DLM: wrong answers,DLM,False,0.7,0.8,72,784,0.09183673469387756
DLM: wrong answers,DLM,False,0.8,0.9,98,784,0.125
DLM: wrong answers,DLM,False,0.9,1.0,520,784,0.6632653061224489
