model_family,prompt_condition,bin_low,bin_high,mean_confidence,empirical_accuracy,bin_count,correct_count,accuracy_ci_low,accuracy_ci_high
AR,neutral,0.0,0.1,0.0,0.0,1,0,0.0,0.7934567085261071
AR,neutral,0.1,0.2,0.1,0.0,4,0,0.0,0.48990002040399916
AR,neutral,0.2,0.3,0.2,0.0,4,0,0.0,0.48990002040399916
AR,neutral,0.3,0.4,0.3,0.04,25,1,0.007096050386699165,0.19544472405022525
AR,neutral,0.4,0.5,0.4,0.21428571428571427,14,3,0.0757124833691637,0.4758972377320828
AR,neutral,0.5,0.6,0.5,0.5,2,1,0.09452865480086614,0.9054713451991339
AR,neutral,0.6,0.7,0.6133333333333333,0.3333333333333333,30,10,0.19230295526846194,0.5122027418616973
AR,neutral,0.7,0.8,0.715,0.6142857142857143,70,43,0.4971552064563055,0.7195248221454583
AR,neutral,0.8,0.9,0.8340540540540541,0.8648648648648649,185,160,0.8081205266850365,0.9067643291941766
AR,neutral,0.9,1.0,0.9473629242819843,0.7300261096605745,1915,1398,0.7096962557504475,0.7494349200589577
DLM,neutral,0.0,0.1,0.0004878048780487805,0.22764227642276422,123,28,0.16245354051668648,0.30932858774407335
DLM,neutral,0.3,0.4,0.32125,0.0,8,0,0.0,0.3244156195108769
DLM,neutral,0.4,0.5,0.4305555555555556,0.0,18,0,0.0,0.1758845505823749
DLM,neutral,0.5,0.6,0.55,0.0,1,0,0.0,0.7934567085261071
DLM,neutral,0.6,0.7,0.6314285714285715,0.0,21,0,0.0,0.15464382326420195
DLM,neutral,0.7,0.8,0.7590909090909091,0.09090909090909091,33,3,0.03140337104926305,0.23572943534351032
DLM,neutral,0.8,0.9,0.83546875,0.296875,64,19,0.19904999589075245,0.4177043259412798
DLM,neutral,0.9,1.0,0.9805553484904956,0.5132314573238912,2683,1377,0.49431291613591555,0.5321121622907398
