model_id,model_family,bin_low,bin_high,mean_confidence,error_rate,bin_count,error_count,spearman_rho,share_confidence_at_least_0.9
x-ai/grok-4.3,AR,0.000000,0.100000,0.000000,1.000000,1,1,-0.533298,0.560000
x-ai/grok-4.3,AR,0.100000,0.200000,0.100000,1.000000,4,4,-0.533298,0.560000
x-ai/grok-4.3,AR,0.200000,0.300000,0.200000,1.000000,4,4,-0.533298,0.560000
x-ai/grok-4.3,AR,0.300000,0.400000,0.300000,0.960000,25,24,-0.533298,0.560000
x-ai/grok-4.3,AR,0.400000,0.500000,0.400000,0.785714,14,11,-0.533298,0.560000
x-ai/grok-4.3,AR,0.500000,0.600000,0.500000,0.500000,2,1,-0.533298,0.560000
x-ai/grok-4.3,AR,0.600000,0.700000,0.613333,0.666667,30,20,-0.533298,0.560000
x-ai/grok-4.3,AR,0.700000,0.800000,0.715000,0.385714,70,27,-0.533298,0.560000
x-ai/grok-4.3,AR,0.800000,0.900000,0.835000,0.116667,180,21,-0.533298,0.560000
x-ai/grok-4.3,AR,0.900000,1.000000,0.916310,0.023810,420,10,-0.533298,0.560000
openai/gpt-4.1-mini,AR,0.800000,0.900000,0.800000,0.800000,5,4,-0.305226,0.993333
openai/gpt-4.1-mini,AR,0.900000,1.000000,0.948255,0.400000,745,298,-0.305226,0.993333
google/gemini-2.5-flash,AR,0.900000,1.000000,0.963867,0.278667,750,209,-0.101305,1.000000
inception/mercury-2,DLM,0.000000,0.100000,0.000000,0.500000,2,1,-0.639509,0.833107
inception/mercury-2,DLM,0.300000,0.400000,0.321250,1.000000,8,8,-0.639509,0.833107
inception/mercury-2,DLM,0.400000,0.500000,0.430556,1.000000,18,18,-0.639509,0.833107
inception/mercury-2,DLM,0.500000,0.600000,0.550000,1.000000,1,1,-0.639509,0.833107
inception/mercury-2,DLM,0.600000,0.700000,0.631429,1.000000,21,21,-0.639509,0.833107
inception/mercury-2,DLM,0.700000,0.800000,0.760000,0.900000,30,27,-0.639509,0.833107
inception/mercury-2,DLM,0.800000,0.900000,0.852791,0.697674,43,30,-0.639509,0.833107
inception/mercury-2,DLM,0.900000,1.000000,0.972932,0.144951,614,89,-0.639509,0.833107
google/diffusiongemma-26B-A4B-it,DLM,0.000000,0.100000,0.000000,1.000000,1,1,-0.180971,0.998667
google/diffusiongemma-26B-A4B-it,DLM,0.900000,1.000000,0.974766,0.415220,749,311,-0.180971,0.998667
Dream-org/Dream-v0-Instruct-7B,DLM,0.000000,0.100000,0.000513,0.769231,117,90,-0.086454,0.802521
Dream-org/Dream-v0-Instruct-7B,DLM,0.700000,0.800000,0.750000,1.000000,3,3,-0.086454,0.802521
Dream-org/Dream-v0-Instruct-7B,DLM,0.800000,0.900000,0.800000,0.714286,21,15,-0.086454,0.802521
Dream-org/Dream-v0-Instruct-7B,DLM,0.900000,1.000000,0.999215,0.654450,573,375,-0.086454,0.802521
GSAI-ML/LLaDA-8B-Instruct,DLM,0.000000,0.100000,0.000000,1.000000,3,3,0.120106,0.996000
GSAI-ML/LLaDA-8B-Instruct,DLM,0.900000,1.000000,0.978313,0.710843,747,531,0.120106,0.996000
