model_family,prompt_condition,bin_low,bin_high,bin_center,count,total,share
AR,cautious,0.0,0.1,0.05,5,2250,0.0022222222222222222
AR,cautious,0.1,0.2,0.15,14,2250,0.006222222222222222
AR,cautious,0.2,0.3,0.25,11,2250,0.004888888888888889
AR,cautious,0.3,0.4,0.35,28,2250,0.012444444444444444
AR,cautious,0.4,0.5,0.45,18,2250,0.008
AR,cautious,0.5,0.6,0.55,1,2250,0.00044444444444444447
AR,cautious,0.6,0.7,0.65,36,2250,0.016
AR,cautious,0.7,0.8,0.75,80,2250,0.035555555555555556
AR,cautious,0.8,0.9,0.85,218,2250,0.09688888888888889
AR,cautious,0.9,1.0,0.95,1839,2250,0.8173333333333334
DLM,cautious,0.0,0.1,0.05,227,2959,0.0767151064548834
DLM,cautious,0.1,0.2,0.15,0,2959,0.0
DLM,cautious,0.2,0.3,0.25,3,2959,0.001013856032443393
DLM,cautious,0.3,0.4,0.35,17,2959,0.005745184183845894
DLM,cautious,0.4,0.5,0.45,11,2959,0.0037174721189591076
DLM,cautious,0.5,0.6,0.55,9,2959,0.003041568097330179
DLM,cautious,0.6,0.7,0.65,31,2959,0.010476512335248395
DLM,cautious,0.7,0.8,0.75,55,2959,0.01858736059479554
DLM,cautious,0.8,0.9,0.85,212,2959,0.07164582629266644
DLM,cautious,0.9,1.0,0.95,2394,2959,0.8090571138898276
AR,neutral,0.0,0.1,0.05,1,2250,0.00044444444444444447
AR,neutral,0.1,0.2,0.15,4,2250,0.0017777777777777779
AR,neutral,0.2,0.3,0.25,4,2250,0.0017777777777777779
AR,neutral,0.3,0.4,0.35,25,2250,0.011111111111111112
AR,neutral,0.4,0.5,0.45,14,2250,0.006222222222222222
AR,neutral,0.5,0.6,0.55,2,2250,0.0008888888888888889
AR,neutral,0.6,0.7,0.65,30,2250,0.013333333333333334
AR,neutral,0.7,0.8,0.75,70,2250,0.03111111111111111
AR,neutral,0.8,0.9,0.85,185,2250,0.08222222222222222
AR,neutral,0.9,1.0,0.95,1915,2250,0.8511111111111112
DLM,neutral,0.0,0.1,0.05,123,2951,0.041680786174178246
DLM,neutral,0.1,0.2,0.15,0,2951,0.0
DLM,neutral,0.2,0.3,0.25,0,2951,0.0
DLM,neutral,0.3,0.4,0.35,8,2951,0.0027109454422229754
DLM,neutral,0.4,0.5,0.45,18,2951,0.006099627245001694
DLM,neutral,0.5,0.6,0.55,1,2951,0.00033886818027787193
DLM,neutral,0.6,0.7,0.65,21,2951,0.00711623178583531
DLM,neutral,0.7,0.8,0.75,33,2951,0.011182649949169773
DLM,neutral,0.8,0.9,0.85,64,2951,0.021687563537783804
DLM,neutral,0.9,1.0,0.95,2683,2951,0.9091833276855303
AR,overconfident,0.0,0.1,0.05,0,2250,0.0
AR,overconfident,0.1,0.2,0.15,1,2250,0.00044444444444444447
AR,overconfident,0.2,0.3,0.25,1,2250,0.00044444444444444447
AR,overconfident,0.3,0.4,0.35,13,2250,0.0057777777777777775
AR,overconfident,0.4,0.5,0.45,3,2250,0.0013333333333333333
AR,overconfident,0.5,0.6,0.55,0,2250,0.0
AR,overconfident,0.6,0.7,0.65,47,2250,0.020888888888888887
AR,overconfident,0.7,0.8,0.75,51,2250,0.02266666666666667
AR,overconfident,0.8,0.9,0.85,119,2250,0.05288888888888889
AR,overconfident,0.9,1.0,0.95,2015,2250,0.8955555555555555
DLM,overconfident,0.0,0.1,0.05,29,2958,0.00980392156862745
DLM,overconfident,0.1,0.2,0.15,0,2958,0.0
DLM,overconfident,0.2,0.3,0.25,0,2958,0.0
DLM,overconfident,0.3,0.4,0.35,4,2958,0.001352265043948614
DLM,overconfident,0.4,0.5,0.45,11,2958,0.0037187288708586883
DLM,overconfident,0.5,0.6,0.55,1,2958,0.0003380662609871535
DLM,overconfident,0.6,0.7,0.65,19,2958,0.006423258958755916
DLM,overconfident,0.7,0.8,0.75,22,2958,0.0074374577417173765
DLM,overconfident,0.8,0.9,0.85,36,2958,0.012170385395537525
DLM,overconfident,0.9,1.0,0.95,2836,2958,0.9587559161595672
