model_family,prompt_condition,bin_low,bin_high,bin_center,bin_count,bin_accuracy,bin_confidence
AR,cautious,0.0,0.1,0.05,5,0.4,0.0
AR,cautious,0.1,0.2,0.15,14,0.0,0.1
AR,cautious,0.2,0.3,0.25,11,0.18181818181818182,0.2
AR,cautious,0.3,0.4,0.35,28,0.25,0.3
AR,cautious,0.4,0.5,0.45,18,0.16666666666666666,0.4
AR,cautious,0.5,0.6,0.55,1,0.0,0.5
AR,cautious,0.6,0.7,0.65,36,0.3333333333333333,0.6166666666666667
AR,cautious,0.7,0.8,0.75,80,0.675,0.7168749999999999
AR,cautious,0.8,0.9,0.85,218,0.7889908256880734,0.8275229357798165
AR,cautious,0.9,1.0,0.95,1839,0.7422512234910277,0.943284393692224
DLM,cautious,0.0,0.1,0.05,0,,
DLM,cautious,0.1,0.2,0.15,0,,
DLM,cautious,0.2,0.3,0.25,3,0.0,0.2333333333333333
DLM,cautious,0.3,0.4,0.35,17,0.0,0.3205882352941176
DLM,cautious,0.4,0.5,0.45,11,0.0,0.4181818181818182
DLM,cautious,0.5,0.6,0.55,8,0.0,0.55
DLM,cautious,0.6,0.7,0.65,31,0.06451612903225806,0.6203225806451613
DLM,cautious,0.7,0.8,0.75,52,0.23076923076923078,0.746923076923077
DLM,cautious,0.8,0.9,0.85,65,0.36923076923076925,0.8530769230769231
DLM,cautious,0.9,1.0,0.95,552,0.8985507246376812,0.970018115942029
AR,neutral,0.0,0.1,0.05,1,0.0,0.0
AR,neutral,0.1,0.2,0.15,4,0.0,0.1
AR,neutral,0.2,0.3,0.25,4,0.0,0.2
AR,neutral,0.3,0.4,0.35,25,0.04,0.3
AR,neutral,0.4,0.5,0.45,14,0.21428571428571427,0.4
AR,neutral,0.5,0.6,0.55,2,0.5,0.5
AR,neutral,0.6,0.7,0.65,30,0.3333333333333333,0.6133333333333333
AR,neutral,0.7,0.8,0.75,70,0.6142857142857143,0.715
AR,neutral,0.8,0.9,0.85,185,0.8648648648648649,0.8340540540540541
AR,neutral,0.9,1.0,0.95,1915,0.7300261096605745,0.9473629242819843
DLM,neutral,0.0,0.1,0.05,2,0.5,0.0
DLM,neutral,0.1,0.2,0.15,0,,
DLM,neutral,0.2,0.3,0.25,0,,
DLM,neutral,0.3,0.4,0.35,8,0.0,0.32125
DLM,neutral,0.4,0.5,0.45,18,0.0,0.4305555555555556
DLM,neutral,0.5,0.6,0.55,1,0.0,0.55
DLM,neutral,0.6,0.7,0.65,21,0.0,0.6314285714285715
DLM,neutral,0.7,0.8,0.75,30,0.1,0.76
DLM,neutral,0.8,0.9,0.85,43,0.3023255813953488,0.8527906976744186
DLM,neutral,0.9,1.0,0.95,614,0.8550488599348535,0.9729315960912052
AR,overconfident,0.0,0.1,0.05,0,,
AR,overconfident,0.1,0.2,0.15,1,1.0,0.1
AR,overconfident,0.2,0.3,0.25,1,0.0,0.2
AR,overconfident,0.3,0.4,0.35,13,0.0,0.3
AR,overconfident,0.4,0.5,0.45,3,0.0,0.4000000000000001
AR,overconfident,0.5,0.6,0.55,0,,
AR,overconfident,0.6,0.7,0.65,47,0.1702127659574468,0.601063829787234
AR,overconfident,0.7,0.8,0.75,51,0.43137254901960786,0.7137254901960784
AR,overconfident,0.8,0.9,0.85,119,0.7983193277310925,0.8365546218487395
AR,overconfident,0.9,1.0,0.95,2015,0.7354838709677419,0.9724069478908189
DLM,overconfident,0.0,0.1,0.05,2,0.5,0.0
DLM,overconfident,0.1,0.2,0.15,0,,
DLM,overconfident,0.2,0.3,0.25,0,,
DLM,overconfident,0.3,0.4,0.35,4,0.0,0.3125
DLM,overconfident,0.4,0.5,0.45,11,0.0,0.41363636363636364
DLM,overconfident,0.5,0.6,0.55,1,0.0,0.55
DLM,overconfident,0.6,0.7,0.65,19,0.0,0.6089473684210527
DLM,overconfident,0.7,0.8,0.75,22,0.0,0.7363636363636363
DLM,overconfident,0.8,0.9,0.85,36,0.19444444444444445,0.8480555555555556
DLM,overconfident,0.9,1.0,0.95,646,0.8312693498452013,0.9795201238390092
