model_family,mean_confidence,empirical_accuracy,bin_count
AR,0.0,0.3333333333333333,6
AR,0.1,0.05263157894736842,19
AR,0.2,0.125,16
AR,0.3,0.12121212121212122,66
AR,0.4,0.17142857142857143,35
AR,0.5,0.3333333333333333,3
AR,0.6092920353982301,0.26548672566371684,113
AR,0.7154228855721392,0.5920398009950248,201
AR,0.8318965517241379,0.8180076628352491,522
AR,0.9548101924076964,0.7358294331773271,5769
DLM,0.000316622691292876,0.22691292875989447,379
DLM,0.2333333333333333,0.0,3
DLM,0.3196551724137931,0.0,29
DLM,0.42250000000000004,0.0,40
DLM,0.5454545454545454,0.0,11
DLM,0.6205633802816902,0.028169014084507043,71
DLM,0.7485454545454546,0.13636363636363635,110
DLM,0.8243589743589743,0.3717948717948718,312
DLM,0.9825186402123088,0.5186402123088588,7913
