group,model_family,correct,bin_low,bin_high,count,group_total,share
AR: correct answers,AR,True,0.0,0.1,2,4841,0.0004131377814501136
AR: correct answers,AR,True,0.1,0.2,1,4841,0.0002065688907250568
AR: correct answers,AR,True,0.2,0.3,2,4841,0.0004131377814501136
AR: correct answers,AR,True,0.3,0.4,8,4841,0.0016525511258004544
AR: correct answers,AR,True,0.4,0.5,6,4841,0.0012394133443503407
AR: correct answers,AR,True,0.5,0.6,1,4841,0.0002065688907250568
AR: correct answers,AR,True,0.6,0.7,30,4841,0.006197066721751705
AR: correct answers,AR,True,0.7,0.8,119,4841,0.02458169799628176
AR: correct answers,AR,True,0.8,0.9,427,4841,0.08820491633959926
AR: correct answers,AR,True,0.9,1.0,4245,4841,0.8768849411278662
AR: wrong answers,AR,False,0.0,0.1,4,1909,0.0020953378732320588
AR: wrong answers,AR,False,0.1,0.2,18,1909,0.009429020429544265
AR: wrong answers,AR,False,0.2,0.3,14,1909,0.007333682556312206
AR: wrong answers,AR,False,0.3,0.4,58,1909,0.030382399161864852
AR: wrong answers,AR,False,0.4,0.5,29,1909,0.015191199580932426
AR: wrong answers,AR,False,0.5,0.6,2,1909,0.0010476689366160294
AR: wrong answers,AR,False,0.6,0.7,83,1909,0.043478260869565216
AR: wrong answers,AR,False,0.7,0.8,82,1909,0.042954426401257205
AR: wrong answers,AR,False,0.8,0.9,95,1909,0.04976427448926139
AR: wrong answers,AR,False,0.9,1.0,1524,1909,0.7983237297014144
DLM: correct answers,DLM,True,0.0,0.1,86,4323,0.01989359241267638
DLM: correct answers,DLM,True,0.1,0.2,0,4323,0.0
DLM: correct answers,DLM,True,0.2,0.3,0,4323,0.0
DLM: correct answers,DLM,True,0.3,0.4,0,4323,0.0
DLM: correct answers,DLM,True,0.4,0.5,0,4323,0.0
DLM: correct answers,DLM,True,0.5,0.6,0,4323,0.0
DLM: correct answers,DLM,True,0.6,0.7,2,4323,0.0004626416840157298
DLM: correct answers,DLM,True,0.7,0.8,15,4323,0.0034698126301179735
DLM: correct answers,DLM,True,0.8,0.9,116,4323,0.02683321767291233
DLM: correct answers,DLM,True,0.9,1.0,4104,4323,0.9493407356002775
DLM: wrong answers,DLM,False,0.0,0.1,293,4545,0.06446644664466447
DLM: wrong answers,DLM,False,0.1,0.2,0,4545,0.0
DLM: wrong answers,DLM,False,0.2,0.3,3,4545,0.0006600660066006601
DLM: wrong answers,DLM,False,0.3,0.4,29,4545,0.00638063806380638
DLM: wrong answers,DLM,False,0.4,0.5,40,4545,0.0088008800880088
DLM: wrong answers,DLM,False,0.5,0.6,11,4545,0.0024202420242024204
DLM: wrong answers,DLM,False,0.6,0.7,69,4545,0.015181518151815182
DLM: wrong answers,DLM,False,0.7,0.8,95,4545,0.020902090209020903
DLM: wrong answers,DLM,False,0.8,0.9,196,4545,0.04312431243124312
DLM: wrong answers,DLM,False,0.9,1.0,3809,4545,0.838063806380638
