group,model_family,correct,bin_low,bin_high,count,group_total,share
AR: correct answers,AR,True,0.0,0.1,0,1616,0.0
AR: correct answers,AR,True,0.1,0.2,0,1616,0.0
AR: correct answers,AR,True,0.2,0.3,0,1616,0.0
AR: correct answers,AR,True,0.3,0.4,1,1616,0.0006188118811881188
AR: correct answers,AR,True,0.4,0.5,3,1616,0.0018564356435643563
AR: correct answers,AR,True,0.5,0.6,1,1616,0.0006188118811881188
AR: correct answers,AR,True,0.6,0.7,10,1616,0.006188118811881188
AR: correct answers,AR,True,0.7,0.8,43,1616,0.026608910891089108
AR: correct answers,AR,True,0.8,0.9,160,1616,0.09900990099009901
AR: correct answers,AR,True,0.9,1.0,1398,1616,0.8650990099009901
AR: wrong answers,AR,False,0.0,0.1,1,634,0.0015772870662460567
AR: wrong answers,AR,False,0.1,0.2,4,634,0.006309148264984227
AR: wrong answers,AR,False,0.2,0.3,4,634,0.006309148264984227
AR: wrong answers,AR,False,0.3,0.4,24,634,0.03785488958990536
AR: wrong answers,AR,False,0.4,0.5,11,634,0.017350157728706624
AR: wrong answers,AR,False,0.5,0.6,1,634,0.0015772870662460567
AR: wrong answers,AR,False,0.6,0.7,20,634,0.031545741324921134
AR: wrong answers,AR,False,0.7,0.8,27,634,0.04258675078864353
AR: wrong answers,AR,False,0.8,0.9,25,634,0.03943217665615142
AR: wrong answers,AR,False,0.9,1.0,517,634,0.8154574132492114
DLM: correct answers,DLM,True,0.0,0.1,28,1427,0.019621583742116328
DLM: correct answers,DLM,True,0.1,0.2,0,1427,0.0
DLM: correct answers,DLM,True,0.2,0.3,0,1427,0.0
DLM: correct answers,DLM,True,0.3,0.4,0,1427,0.0
DLM: correct answers,DLM,True,0.4,0.5,0,1427,0.0
DLM: correct answers,DLM,True,0.5,0.6,0,1427,0.0
DLM: correct answers,DLM,True,0.6,0.7,0,1427,0.0
DLM: correct answers,DLM,True,0.7,0.8,3,1427,0.002102312543798178
DLM: correct answers,DLM,True,0.8,0.9,19,1427,0.013314646110721794
DLM: correct answers,DLM,True,0.9,1.0,1377,1427,0.9649614576033637
DLM: wrong answers,DLM,False,0.0,0.1,95,1524,0.062335958005249346
DLM: wrong answers,DLM,False,0.1,0.2,0,1524,0.0
DLM: wrong answers,DLM,False,0.2,0.3,0,1524,0.0
DLM: wrong answers,DLM,False,0.3,0.4,8,1524,0.005249343832020997
DLM: wrong answers,DLM,False,0.4,0.5,18,1524,0.011811023622047244
DLM: wrong answers,DLM,False,0.5,0.6,1,1524,0.0006561679790026247
DLM: wrong answers,DLM,False,0.6,0.7,21,1524,0.013779527559055118
DLM: wrong answers,DLM,False,0.7,0.8,30,1524,0.01968503937007874
DLM: wrong answers,DLM,False,0.8,0.9,45,1524,0.02952755905511811
DLM: wrong answers,DLM,False,0.9,1.0,1306,1524,0.8569553805774278
