model_family,coverage,risk,N
AR,0.05,0.27361319340329837,338
AR,0.1,0.27361319340329837,675
AR,0.15,0.2736131934032983,1012
AR,0.2,0.27361319340329837,1350
AR,0.25,0.27361319340329837,1688
AR,0.3,0.2736131934032983,2025
AR,0.35,0.27361319340329837,2362
AR,0.4,0.2720617783775679,2700
AR,0.45,0.2576707188033892,3038
AR,0.5,0.24619193282351176,3375
AR,0.55,0.23932540775563887,3713
AR,0.6,0.24512629051199805,4050
AR,0.65,0.25004939686215605,4388
AR,0.7,0.25425671767366037,4725
AR,0.75,0.2579038381242494,5062
AR,0.8,0.26110453804490713,5400
AR,0.85,0.2639281600383491,5738
AR,0.9,0.256914692470248,6075
AR,0.95,0.2600777768303137,6412
AR,1.0,0.2828148148148148,6750
DLM,0.05,0.5644148430066603,443
DLM,0.1,0.5644148430066603,887
DLM,0.15,0.5644148430066603,1330
DLM,0.2,0.5644148430066603,1774
DLM,0.25,0.5644148430066603,2217
DLM,0.3,0.5644148430066603,2660
DLM,0.35,0.5644148430066603,3104
DLM,0.4,0.5644148430066603,3547
DLM,0.45,0.5644148430066603,3991
DLM,0.5,0.5644148430066603,4434
DLM,0.55,0.5644148430066603,4877
DLM,0.6,0.5579424608756862,5321
DLM,0.65,0.5183353933207134,5764
DLM,0.7,0.484721700689561,6208
DLM,0.75,0.46626302580294465,6651
DLM,0.8,0.4688727665792976,7094
DLM,0.85,0.4759790569122269,7538
DLM,0.9,0.4827312693734576,7981
DLM,0.95,0.4970919881305638,8425
DLM,1.0,0.5125169147496617,8868
