dataset,model_family,metric,value,N
GSM8K,AR,Accuracy,0.7111111111111111,1350
GSM8K,AR,ECE,0.26522222222222214,1350
GSM8K,DLM,Accuracy,0.6644444444444444,1800
GSM8K,DLM,ECE,0.31935790061418207,1800
MedQA,AR,Accuracy,0.8481481481481481,1350
MedQA,AR,ECE,0.06466666666666666,1350
MedQA,DLM,Accuracy,0.6566666666666666,1800
MedQA,DLM,ECE,0.29898163606010014,1800
SimpleQA,AR,Accuracy,0.27925925925925926,1350
SimpleQA,AR,ECE,0.547037037037037,1350
SimpleQA,DLM,Accuracy,0.07388888888888889,1800
SimpleQA,DLM,ECE,0.8010997150997151,1800
TriviaQA,AR,Accuracy,0.9177777777777778,1350
TriviaQA,AR,ECE,0.03422222222222224,1350
TriviaQA,DLM,Accuracy,0.4822222222222222,1800
TriviaQA,DLM,ECE,0.475054131054131,1800
TruthfulQA,AR,Accuracy,0.8296296296296296,1350
TruthfulQA,AR,ECE,0.13499999999999995,1350
TruthfulQA,DLM,Accuracy,0.5311111111111111,1800
TruthfulQA,DLM,ECE,0.39046892655367227,1800
