dataset,model_family,metric,value,ci_low,ci_high,N,question_count,model_count
GSM8K,AR,Accuracy,0.7111111111111111,0.6278314897067799,0.7943907325154423,1350,50,3
GSM8K,AR,ECE,0.26522222222222214,0.18367144032863017,0.34677300411581413,1350,50,3
GSM8K,DLM,Accuracy,0.6644444444444444,0.5962346984073018,0.732654190481587,1800,50,4
GSM8K,DLM,ECE,0.31935790061418207,0.2504255360576858,0.38829026517067833,1800,50,4
MedQA,AR,Accuracy,0.8481481481481481,0.766269243405915,0.9300270528903812,1350,50,3
MedQA,AR,ECE,0.06466666666666666,0.0,0.1318252521933683,1350,50,3
MedQA,DLM,Accuracy,0.6566666666666666,0.5827906490128177,0.7305426843205155,1800,50,4
MedQA,DLM,ECE,0.29898163606010014,0.23167461929961503,0.36628865282058526,1800,50,4
SimpleQA,AR,Accuracy,0.27925925925925926,0.1919944064257148,0.3665241120928037,1350,50,3
SimpleQA,AR,ECE,0.547037037037037,0.4705544219859512,0.6235196520881228,1350,50,3
SimpleQA,DLM,Accuracy,0.07388888888888889,0.027024173680344224,0.12075360409743356,1800,50,4
SimpleQA,DLM,ECE,0.8010997150997151,0.7567187212608278,0.8454807089386024,1800,50,4
TriviaQA,AR,Accuracy,0.9177777777777778,0.8659325564446683,0.9696229991108873,1350,50,3
TriviaQA,AR,ECE,0.03422222222222224,0.0,0.07332326340129283,1350,50,3
TriviaQA,DLM,Accuracy,0.4822222222222222,0.39707478952775166,0.5673696549166928,1800,50,4
TriviaQA,DLM,ECE,0.475054131054131,0.39956444971546334,0.5505438123927987,1800,50,4
TruthfulQA,AR,Accuracy,0.8296296296296296,0.7610267835712198,0.8982324756880394,1350,50,3
TruthfulQA,AR,ECE,0.13499999999999995,0.06984177315740794,0.20015822684259196,1350,50,3
TruthfulQA,DLM,Accuracy,0.5311111111111111,0.4561014737347815,0.6061207484874407,1800,50,4
TruthfulQA,DLM,ECE,0.39046892655367227,0.3232169946669094,0.45772085844043514,1800,50,4
