prompt_condition,bin_low,bin_high,bin_center,count,total,share
cautious,0.0,0.1,0.05,5,2250,0.0022222222222222222
cautious,0.1,0.2,0.15,14,2250,0.006222222222222222
cautious,0.2,0.3,0.25,11,2250,0.004888888888888889
cautious,0.3,0.4,0.35,28,2250,0.012444444444444444
cautious,0.4,0.5,0.45,18,2250,0.008
cautious,0.5,0.6,0.55,1,2250,0.00044444444444444447
cautious,0.6,0.7,0.65,36,2250,0.016
cautious,0.7,0.8,0.75,80,2250,0.035555555555555556
cautious,0.8,0.9,0.85,218,2250,0.09688888888888889
cautious,0.9,1.0,0.95,1839,2250,0.8173333333333334
neutral,0.0,0.1,0.05,1,2250,0.00044444444444444447
neutral,0.1,0.2,0.15,4,2250,0.0017777777777777779
neutral,0.2,0.3,0.25,4,2250,0.0017777777777777779
neutral,0.3,0.4,0.35,25,2250,0.011111111111111112
neutral,0.4,0.5,0.45,14,2250,0.006222222222222222
neutral,0.5,0.6,0.55,2,2250,0.0008888888888888889
neutral,0.6,0.7,0.65,30,2250,0.013333333333333334
neutral,0.7,0.8,0.75,70,2250,0.03111111111111111
neutral,0.8,0.9,0.85,185,2250,0.08222222222222222
neutral,0.9,1.0,0.95,1915,2250,0.8511111111111112
overconfident,0.0,0.1,0.05,0,2250,0.0
overconfident,0.1,0.2,0.15,1,2250,0.00044444444444444447
overconfident,0.2,0.3,0.25,1,2250,0.00044444444444444447
overconfident,0.3,0.4,0.35,13,2250,0.0057777777777777775
overconfident,0.4,0.5,0.45,3,2250,0.0013333333333333333
overconfident,0.5,0.6,0.55,0,2250,0.0
overconfident,0.6,0.7,0.65,47,2250,0.020888888888888887
overconfident,0.7,0.8,0.75,51,2250,0.02266666666666667
overconfident,0.8,0.9,0.85,119,2250,0.05288888888888889
overconfident,0.9,1.0,0.95,2015,2250,0.8955555555555555
