group,model_family,correct,bin_low,bin_high,count,group_total,share
AR: correct answers,AR,True,0.0,0.1,0,227,0.0
AR: correct answers,AR,True,0.1,0.2,0,227,0.0
AR: correct answers,AR,True,0.2,0.3,0,227,0.0
AR: correct answers,AR,True,0.3,0.4,0,227,0.0
AR: correct answers,AR,True,0.4,0.5,0,227,0.0
AR: correct answers,AR,True,0.5,0.6,0,227,0.0
AR: correct answers,AR,True,0.6,0.7,1,227,0.004405286343612335
AR: correct answers,AR,True,0.7,0.8,6,227,0.02643171806167401
AR: correct answers,AR,True,0.8,0.9,36,227,0.15859030837004406
AR: correct answers,AR,True,0.9,1.0,184,227,0.8105726872246696
AR: wrong answers,AR,False,0.0,0.1,2,512,0.00390625
AR: wrong answers,AR,False,0.1,0.2,0,512,0.0
AR: wrong answers,AR,False,0.2,0.3,0,512,0.0
AR: wrong answers,AR,False,0.3,0.4,0,512,0.0
AR: wrong answers,AR,False,0.4,0.5,0,512,0.0
AR: wrong answers,AR,False,0.5,0.6,0,512,0.0
AR: wrong answers,AR,False,0.6,0.7,2,512,0.00390625
AR: wrong answers,AR,False,0.7,0.8,16,512,0.03125
AR: wrong answers,AR,False,0.8,0.9,109,512,0.212890625
AR: wrong answers,AR,False,0.9,1.0,383,512,0.748046875
DLM: correct answers,DLM,True,0.0,0.1,0,445,0.0
DLM: correct answers,DLM,True,0.1,0.2,0,445,0.0
DLM: correct answers,DLM,True,0.2,0.3,0,445,0.0
DLM: correct answers,DLM,True,0.3,0.4,0,445,0.0
DLM: correct answers,DLM,True,0.4,0.5,0,445,0.0
DLM: correct answers,DLM,True,0.5,0.6,0,445,0.0
DLM: correct answers,DLM,True,0.6,0.7,0,445,0.0
DLM: correct answers,DLM,True,0.7,0.8,3,445,0.006741573033707865
DLM: correct answers,DLM,True,0.8,0.9,13,445,0.029213483146067417
DLM: correct answers,DLM,True,0.9,1.0,429,445,0.9640449438202248
DLM: wrong answers,DLM,False,0.0,0.1,0,248,0.0
DLM: wrong answers,DLM,False,0.1,0.2,1,248,0.004032258064516129
DLM: wrong answers,DLM,False,0.2,0.3,13,248,0.05241935483870968
DLM: wrong answers,DLM,False,0.3,0.4,2,248,0.008064516129032258
DLM: wrong answers,DLM,False,0.4,0.5,5,248,0.020161290322580645
DLM: wrong answers,DLM,False,0.5,0.6,2,248,0.008064516129032258
DLM: wrong answers,DLM,False,0.6,0.7,10,248,0.04032258064516129
DLM: wrong answers,DLM,False,0.7,0.8,36,248,0.14516129032258066
DLM: wrong answers,DLM,False,0.8,0.9,44,248,0.1774193548387097
DLM: wrong answers,DLM,False,0.9,1.0,135,248,0.5443548387096774
