group,model_family,correct,bin_low,bin_high,count,group_total,share
AR: correct answers,AR,True,0.0,0.1,2,4841,0.0004131377814501136
AR: correct answers,AR,True,0.1,0.2,1,4841,0.0002065688907250568
AR: correct answers,AR,True,0.2,0.3,2,4841,0.0004131377814501136
AR: correct answers,AR,True,0.3,0.4,8,4841,0.0016525511258004544
AR: correct answers,AR,True,0.4,0.5,6,4841,0.0012394133443503407
AR: correct answers,AR,True,0.5,0.6,1,4841,0.0002065688907250568
AR: correct answers,AR,True,0.6,0.7,30,4841,0.006197066721751705
AR: correct answers,AR,True,0.7,0.8,119,4841,0.02458169799628176
AR: correct answers,AR,True,0.8,0.9,427,4841,0.08820491633959926
AR: correct answers,AR,True,0.9,1.0,4245,4841,0.8768849411278662
AR: wrong answers,AR,False,0.0,0.1,4,1909,0.0020953378732320588
AR: wrong answers,AR,False,0.1,0.2,18,1909,0.009429020429544265
AR: wrong answers,AR,False,0.2,0.3,14,1909,0.007333682556312206
AR: wrong answers,AR,False,0.3,0.4,58,1909,0.030382399161864852
AR: wrong answers,AR,False,0.4,0.5,29,1909,0.015191199580932426
AR: wrong answers,AR,False,0.5,0.6,2,1909,0.0010476689366160294
AR: wrong answers,AR,False,0.6,0.7,83,1909,0.043478260869565216
AR: wrong answers,AR,False,0.7,0.8,82,1909,0.042954426401257205
AR: wrong answers,AR,False,0.8,0.9,95,1909,0.04976427448926139
AR: wrong answers,AR,False,0.9,1.0,1524,1909,0.7983237297014144
DLM: correct answers,DLM,True,0.0,0.1,2,1621,0.0012338062924120913
DLM: correct answers,DLM,True,0.1,0.2,0,1621,0.0
DLM: correct answers,DLM,True,0.2,0.3,0,1621,0.0
DLM: correct answers,DLM,True,0.3,0.4,0,1621,0.0
DLM: correct answers,DLM,True,0.4,0.5,0,1621,0.0
DLM: correct answers,DLM,True,0.5,0.6,0,1621,0.0
DLM: correct answers,DLM,True,0.6,0.7,2,1621,0.0012338062924120913
DLM: correct answers,DLM,True,0.7,0.8,15,1621,0.009253547193090685
DLM: correct answers,DLM,True,0.8,0.9,44,1621,0.027143738433066007
DLM: correct answers,DLM,True,0.9,1.0,1558,1621,0.9611351017890192
DLM: wrong answers,DLM,False,0.0,0.1,2,596,0.003355704697986577
DLM: wrong answers,DLM,False,0.1,0.2,0,596,0.0
DLM: wrong answers,DLM,False,0.2,0.3,3,596,0.0050335570469798654
DLM: wrong answers,DLM,False,0.3,0.4,29,596,0.04865771812080537
DLM: wrong answers,DLM,False,0.4,0.5,40,596,0.06711409395973154
DLM: wrong answers,DLM,False,0.5,0.6,10,596,0.016778523489932886
DLM: wrong answers,DLM,False,0.6,0.7,69,596,0.11577181208053691
DLM: wrong answers,DLM,False,0.7,0.8,89,596,0.1493288590604027
DLM: wrong answers,DLM,False,0.8,0.9,100,596,0.16778523489932887
DLM: wrong answers,DLM,False,0.9,1.0,254,596,0.4261744966442953
