model_family,difficulty_bin,N,questions,accuracy,mean_confidence,expected_calibration_error,area_under_risk_coverage,area_under_roc,high_confidence_wrong_rate,accuracy_ci_low,accuracy_ci_high,mean_confidence_ci_low,mean_confidence_ci_high,expected_calibration_error_ci_low,expected_calibration_error_ci_high,area_under_risk_coverage_ci_low,area_under_risk_coverage_ci_high,area_under_roc_ci_low,area_under_roc_ci_high,high_confidence_wrong_rate_ci_low,high_confidence_wrong_rate_ci_high
AR,0.0-0.2,1296,56,0.256944,0.823765,0.566821,0.741613,0.497948,0.508488,0.171713,0.342176,0.804964,0.842566,0.486311,0.647331,0.642169,0.841057,0.424430,0.571467,0.445251,0.571724
AR,0.2-0.4,819,53,0.533578,0.903968,0.389438,0.557969,0.373339,0.422466,0.432025,0.635130,0.885331,0.922606,0.290658,0.488219,0.433219,0.682720,0.285894,0.460784,0.323035,0.521897
AR,0.4-0.6,1215,60,0.692181,0.941605,0.249424,0.365101,0.413183,0.286420,0.590474,0.793888,0.930725,0.952485,0.147885,0.350963,0.238765,0.491437,0.318718,0.507647,0.188145,0.384694
AR,0.6-0.8,1512,67,0.906746,0.944742,0.053737,0.094254,0.493562,0.084656,0.861888,0.951604,0.936192,0.953292,0.011784,0.095690,0.044508,0.144001,0.386575,0.600550,0.042167,0.127146
AR,0.8-1.0,1908,74,0.974319,0.951336,0.026441,0.040238,0.317490,0.022537,0.954752,0.993885,0.944355,0.958318,0.007979,0.044903,0.007125,0.073351,0.131378,0.503603,0.003636,0.041438
DLM,0.0-0.2,1395,41,0.017921,0.855170,0.841004,0.987210,0.419353,0.711111,0.000000,0.035862,0.831041,0.879299,0.816467,0.865542,0.972665,1.000000,0.234977,0.603728,0.679249,0.742973
DLM,0.2-0.4,1242,50,0.310789,0.907890,0.603671,0.721542,0.470266,0.557971,0.214869,0.406709,0.883162,0.932619,0.514154,0.693189,0.619998,0.823085,0.415896,0.524636,0.478073,0.637869
DLM,0.4-0.6,1251,64,0.414868,0.947727,0.529442,0.654058,0.417261,0.516387,0.317412,0.512325,0.929376,0.966077,0.434165,0.624718,0.549213,0.758902,0.348608,0.485915,0.424984,0.607790
DLM,0.6-0.8,1782,85,0.589226,0.953102,0.366661,0.480335,0.404640,0.365881,0.493280,0.685171,0.941920,0.964284,0.276087,0.457235,0.374433,0.586237,0.352055,0.457224,0.278028,0.453734
DLM,0.8-1.0,3330,120,0.707207,0.932916,0.261951,0.299767,0.492551,0.248048,0.652638,0.761776,0.917495,0.948338,0.210687,0.313215,0.240375,0.359159,0.454877,0.530226,0.200255,0.295841
