dataset,model_family,difficulty_bin,N,questions,accuracy,mean_confidence,expected_calibration_error,area_under_risk_coverage,area_under_roc,high_confidence_wrong_rate
GSM8K,AR,0.0-0.2,45,3,0.400000,0.945556,0.545556,0.808597,0.254115,0.555556
GSM8K,AR,0.2-0.4,207,15,0.608696,0.957729,0.350483,0.695577,0.061336,0.391304
GSM8K,AR,0.4-0.6,306,17,0.339869,0.985294,0.645425,0.773795,0.271040,0.660131
GSM8K,AR,0.6-0.8,252,13,0.845238,0.974405,0.133929,0.203007,0.345191,0.154762
GSM8K,AR,0.8-1.0,540,22,0.924074,0.981852,0.061111,0.098537,0.364583,0.074074
GSM8K,DLM,0.0-0.2,45,2,0.333333,0.995111,0.661778,0.775645,0.311111,0.666667
GSM8K,DLM,0.2-0.4,324,15,0.608025,0.995864,0.387840,0.521547,0.276790,0.391975
GSM8K,DLM,0.4-0.6,351,17,0.339031,0.974017,0.640684,0.708599,0.410026,0.641026
GSM8K,DLM,0.6-0.8,288,13,0.704861,0.974965,0.270104,0.323710,0.450014,0.274306
GSM8K,DLM,0.8-1.0,792,27,0.835859,0.990881,0.145415,0.171321,0.442960,0.145202
MedQA,AR,0.0-0.2,90,4,0.200000,0.859444,0.659444,0.923921,0.242670,0.511111
MedQA,AR,0.2-0.4,90,6,0.588889,0.852222,0.388889,0.656868,0.180265,0.366667
MedQA,AR,0.4-0.6,162,9,0.623457,0.915432,0.291975,0.373597,0.505600,0.345679
MedQA,AR,0.6-0.8,324,14,0.901235,0.915741,0.014506,0.083787,0.571329,0.070988
MedQA,AR,0.8-1.0,684,26,0.995614,0.925804,0.069810,0.011458,0.097651,0.004386
MedQA,DLM,0.0-0.2,108,3,0.037037,0.822037,0.840556,0.996890,0.058894,0.759259
MedQA,DLM,0.2-0.4,126,5,0.500000,0.835317,0.437540,0.468985,0.547115,0.420635
MedQA,DLM,0.4-0.6,153,9,0.496732,0.950980,0.454248,0.518854,0.583988,0.477124
MedQA,DLM,0.6-0.8,333,16,0.702703,0.948018,0.245315,0.286220,0.570750,0.261261
MedQA,DLM,0.8-1.0,1080,36,0.745370,0.907196,0.226156,0.245271,0.549114,0.219444
SimpleQA,AR,0.0-0.2,972,39,0.195473,0.803035,0.607562,0.797002,0.499068,0.539095
SimpleQA,AR,0.2-0.4,225,15,0.435556,0.879556,0.496444,0.523402,0.503857,0.484444
SimpleQA,AR,0.4-0.6,117,6,0.529915,0.884188,0.354274,0.359950,0.644428,0.316239
SimpleQA,AR,0.6-0.8,36,2,0.750000,0.933333,0.272222,0.353710,0.265432,0.250000
SimpleQA,DLM,0.0-0.2,1125,32,0.002667,0.847045,0.844300,0.997702,0.494954,0.702222
SimpleQA,DLM,0.2-0.4,405,16,0.143210,0.912764,0.772060,0.887911,0.416100,0.681481
SimpleQA,DLM,0.4-0.6,189,8,0.275132,0.951774,0.672204,0.755256,0.448479,0.624339
SimpleQA,DLM,0.6-0.8,63,3,0.269841,0.883000,0.599667,0.786196,0.401505,0.587302
SimpleQA,DLM,0.8-1.0,18,1,0.166667,1.000000,0.833333,0.833333,0.500000,0.833333
TriviaQA,AR,0.0-0.2,108,5,0.537037,0.875000,0.344444,0.416368,0.556724,0.333333
TriviaQA,AR,0.2-0.4,108,6,0.712963,0.906481,0.193519,0.134470,0.743402,0.185185
TriviaQA,AR,0.4-0.6,414,16,0.983092,0.939614,0.046618,0.006616,0.705160,0.014493
TriviaQA,AR,0.6-0.8,315,13,0.926984,0.974921,0.049841,0.053318,0.625372,0.073016
TriviaQA,AR,0.8-1.0,405,15,1.000000,0.970617,0.029383,0.000000,NA,0.000000
TriviaQA,DLM,0.0-0.2,72,2,0.000000,0.883611,0.883611,1.000000,NA,0.805556
TriviaQA,DLM,0.2-0.4,108,3,0.009259,0.875294,0.865490,0.993985,0.455446,0.712963
TriviaQA,DLM,0.4-0.6,297,18,0.505051,0.936070,0.413053,0.593175,0.379037,0.377104
TriviaQA,DLM,0.6-0.8,594,26,0.377104,0.950185,0.583182,0.699349,0.377733,0.577441
TriviaQA,DLM,0.8-1.0,729,26,0.676269,0.975342,0.311524,0.368107,0.388036,0.290809
TruthfulQA,AR,0.0-0.2,81,5,0.604938,0.896914,0.327778,0.444376,0.392857,0.345679
TruthfulQA,AR,0.2-0.4,189,11,0.439153,0.897354,0.540741,0.745325,0.195556,0.544974
TruthfulQA,AR,0.4-0.6,216,12,0.773148,0.934259,0.183796,0.176060,0.582121,0.217593
TruthfulQA,AR,0.6-0.8,585,25,0.935043,0.932479,0.039145,0.047361,0.581497,0.058120
TruthfulQA,AR,0.8-1.0,279,11,0.982079,0.926882,0.075627,0.000337,0.991971,0.000000
TruthfulQA,DLM,0.0-0.2,45,2,0.066667,0.969444,0.886111,0.986162,0.106061,0.711111
TruthfulQA,DLM,0.2-0.4,279,11,0.240143,0.842051,0.596630,0.810506,0.446167,0.573477
TruthfulQA,DLM,0.4-0.6,261,12,0.467433,0.920307,0.452874,0.550114,0.522084,0.452107
TruthfulQA,DLM,0.6-0.8,504,27,0.738095,0.955798,0.216404,0.332132,0.375951,0.210317
TruthfulQA,DLM,0.8-1.0,711,30,0.551336,0.863872,0.385064,0.481607,0.468552,0.347398
