model_family,difficulty_bin,N,questions,accuracy,mean_confidence,expected_calibration_error,area_under_risk_coverage,area_under_roc,high_confidence_wrong_rate,accuracy_ci_low,accuracy_ci_high,mean_confidence_ci_low,mean_confidence_ci_high,expected_calibration_error_ci_low,expected_calibration_error_ci_high,area_under_risk_coverage_ci_low,area_under_risk_coverage_ci_high,area_under_roc_ci_low,area_under_roc_ci_high,high_confidence_wrong_rate_ci_low,high_confidence_wrong_rate_ci_high
AR,0.0-0.2,432,56,0.256944,0.815509,0.558565,0.730466,0.469409,0.530093,0.171495,0.342394,0.795535,0.835484,0.480027,0.637103,0.617176,0.843756,0.388414,0.550403,0.465802,0.594384
AR,0.2-0.4,273,53,0.542125,0.900733,0.382051,0.533004,0.397919,0.417582,0.433170,0.651080,0.883736,0.917729,0.279601,0.484501,0.378096,0.687911,0.302863,0.492975,0.311605,0.523560
AR,0.4-0.6,405,60,0.683951,0.936173,0.260123,0.366528,0.397126,0.298765,0.575000,0.792901,0.924567,0.947778,0.150454,0.369792,0.209145,0.523911,0.273766,0.520486,0.191540,0.405991
AR,0.6-0.8,504,67,0.916667,0.939782,0.037599,0.064315,0.489177,0.075397,0.874022,0.959311,0.930537,0.949026,0.000000,0.076173,0.011032,0.117598,0.357293,0.621062,0.034632,0.116162
AR,0.8-1.0,636,74,0.971698,0.945362,0.032311,0.038910,0.320164,0.023585,0.950071,0.993325,0.937141,0.953583,0.011141,0.053482,0.000000,0.083812,0.084328,0.555999,0.002900,0.044270
DLM,0.0-0.2,465,41,0.021505,0.863111,0.853956,0.989727,0.376364,0.731183,0.000384,0.042626,0.824765,0.901457,0.816156,0.891755,0.971460,1.000000,0.095520,0.657207,0.690520,0.771846
DLM,0.2-0.4,414,50,0.314010,0.909386,0.594889,0.778106,0.451361,0.572464,0.219490,0.408530,0.871533,0.947239,0.497746,0.692033,0.657108,0.899104,0.376162,0.526559,0.486758,0.658169
DLM,0.4-0.6,417,64,0.417266,0.949831,0.529541,0.740962,0.415924,0.513189,0.315078,0.519455,0.927481,0.972181,0.427264,0.631818,0.610599,0.871325,0.323342,0.508507,0.415586,0.610793
DLM,0.6-0.8,594,85,0.580808,0.969218,0.382483,0.583791,0.355150,0.387205,0.484053,0.677563,0.954827,0.983609,0.286389,0.478577,0.456506,0.711075,0.286013,0.424287,0.294053,0.480358
DLM,0.8-1.0,1110,120,0.694595,0.926639,0.267299,0.334582,0.505516,0.256757,0.637472,0.751717,0.903132,0.950146,0.213009,0.321588,0.255832,0.413333,0.452704,0.558328,0.205426,0.308087
