label,difficulty_bin,N,questions,accuracy,mean_confidence,expected_calibration_error,area_under_roc,high_confidence_wrong_rate
AR,0.0-0.1,900,43,0.14888888888888888,0.8093333333333333,0.6604444444444445,0.49897217567514907,0.5711111111111111
AR,0.1-0.2,171,17,0.695906432748538,0.8552631578947368,0.20672514619883042,0.41790562378797674,0.2046783625730994
AR,0.2-0.3,459,37,0.5838779956427015,0.8613289760348585,0.31078431372549015,0.46339962491208875,0.32679738562091504
AR,0.3-0.4,306,28,0.47058823529411764,0.9326797385620914,0.47254901960784307,0.35510973936899864,0.5065359477124183
AR,0.4-0.5,378,28,0.26455026455026454,0.9404761904761905,0.6759259259259259,0.45910071942446046,0.6693121693121693
AR,0.5-0.6,675,43,0.6355555555555555,0.9279999999999999,0.3007407407407407,0.4567627494456763,0.33185185185185184
AR,0.6-0.7,531,26,0.9152542372881356,0.9446327683615819,0.05216572504708096,0.4230909922267947,0.08097928436911488
AR,0.7-0.8,990,48,0.895959595959596,0.9427272727272726,0.05626262626262629,0.5441271439673384,0.09090909090909091
AR,0.8-0.9,1197,49,0.9699248120300752,0.9459899749373433,0.02393483709273183,0.26376926021628866,0.029239766081871343
AR,0.9-1.0,1143,45,0.973753280839895,0.9545494313210848,0.024190726159230076,0.36362683438155136,0.021872265966754154
DLM,0.0-0.1,1062,30,0.009416195856873822,0.8520234604105572,0.8479960899315738,0.4215695952615992,0.7005649717514124
DLM,0.1-0.2,333,12,0.04504504504504504,0.864894259818731,0.8195770392749244,0.4428270042194093,0.7447447447447447
DLM,0.2-0.3,504,27,0.3055555555555556,0.9052235772357724,0.6083536585365854,0.42359563513409665,0.5396825396825397
DLM,0.3-0.4,738,38,0.3143631436314363,0.9096853625170999,0.6005198358413133,0.5014425402529197,0.5704607046070461
DLM,0.4-0.5,531,31,0.2862523540489642,0.9579383429672448,0.6650674373795762,0.5010307615086763,0.632768361581921
DLM,0.5-0.6,720,48,0.5097222222222222,0.9403347280334728,0.43126917712691765,0.38152588555858313,0.4305555555555556
DLM,0.6-0.7,918,47,0.4074074074074074,0.9467978142076503,0.5380546448087431,0.3981263653167535,0.5315904139433552
DLM,0.7-0.8,864,47,0.7824074074074074,0.9598479532163742,0.18323976608187142,0.4599228124690093,0.18981481481481483
DLM,0.8-0.9,1485,77,0.6296296296296297,0.9171487603305786,0.3413911845730028,0.4634369174420419,0.30774410774410776
DLM,0.9-1.0,1845,85,0.7696476964769647,0.9454064375340971,0.19902345881069286,0.5214522487921394,0.2
