model_id,difficulty_bin,N,questions,accuracy,mean_confidence,expected_calibration_error,area_under_risk_coverage,area_under_roc,high_confidence_wrong_rate
Dream-org/Dream-v0-Instruct-7B,0.0-0.2,342,38,0.008772,0.720841,0.729626,0.997441,0.117925,0.657895
Dream-org/Dream-v0-Instruct-7B,0.2-0.4,270,30,0.100000,0.736000,0.676941,0.854512,0.509503,0.577778
Dream-org/Dream-v0-Instruct-7B,0.4-0.6,261,29,0.091954,0.890588,0.796471,0.945663,0.603896,0.724138
Dream-org/Dream-v0-Instruct-7B,0.6-0.8,351,39,0.205128,0.839292,0.662301,0.688122,0.500468,0.581197
Dream-org/Dream-v0-Instruct-7B,0.8-1.0,1026,114,0.595517,0.837768,0.361723,0.350866,0.532371,0.272904
GSAI-ML/LLaDA-8B-Instruct,0.0-0.2,342,38,0.000000,0.983333,0.983333,1.000000,NA,0.991228
GSAI-ML/LLaDA-8B-Instruct,0.2-0.4,252,28,0.107143,0.979762,0.872619,0.936641,0.240000,0.892857
GSAI-ML/LLaDA-8B-Instruct,0.4-0.6,297,33,0.141414,0.982828,0.841414,0.880778,0.516807,0.858586
GSAI-ML/LLaDA-8B-Instruct,0.6-0.8,351,39,0.256410,0.979915,0.723504,0.636363,0.479693,0.743590
GSAI-ML/LLaDA-8B-Instruct,0.8-1.0,1008,112,0.498016,0.960268,0.468204,0.356495,0.496002,0.490079
google/diffusiongemma-26B-A4B-it,0.0-0.2,342,38,0.017544,0.979678,0.962135,0.934847,0.608631,0.982456
google/diffusiongemma-26B-A4B-it,0.2-0.4,342,38,0.342105,0.980556,0.638450,0.490569,0.579031,0.657895
google/diffusiongemma-26B-A4B-it,0.4-0.6,306,34,0.500000,0.963889,0.463889,0.334899,0.602418,0.483660
google/diffusiongemma-26B-A4B-it,0.6-0.8,585,65,0.714530,0.986154,0.271624,0.229256,0.486305,0.285470
google/diffusiongemma-26B-A4B-it,0.8-1.0,675,75,0.921481,0.988074,0.066593,0.050253,0.632318,0.075556
google/gemini-2.5-flash,0.0-0.2,450,50,0.282222,0.960667,0.678444,0.657587,0.573340,0.706667
google/gemini-2.5-flash,0.2-0.4,225,25,0.435556,0.974889,0.550000,0.544477,0.487265,0.564444
google/gemini-2.5-flash,0.4-0.6,468,52,0.677350,0.983013,0.305662,0.321271,0.554244,0.322650
google/gemini-2.5-flash,0.6-0.8,468,52,0.987179,0.974573,0.012607,0.007717,0.644481,0.012821
google/gemini-2.5-flash,0.8-1.0,639,71,0.985915,0.975822,0.010094,0.021765,0.373810,0.014085
inception/mercury-2,0.0-0.2,369,41,0.043360,0.731117,0.685272,0.871024,0.901745,0.249322
inception/mercury-2,0.2-0.4,378,42,0.568783,0.910214,0.340695,0.187286,0.838599,0.230159
inception/mercury-2,0.4-0.6,387,43,0.775194,0.945608,0.157249,0.100122,0.741731,0.139535
inception/mercury-2,0.6-0.8,495,55,0.949495,0.972970,0.023475,0.020808,0.815830,0.040404
inception/mercury-2,0.8-1.0,621,69,0.998390,0.978873,0.019517,0.000213,0.850000,0.001610
openai/gpt-4.1-mini,0.0-0.2,351,39,0.037037,0.916667,0.879630,0.974528,0.376309,0.911681
openai/gpt-4.1-mini,0.2-0.4,288,32,0.215278,0.923958,0.708681,0.808972,0.531295,0.736111
openai/gpt-4.1-mini,0.4-0.6,423,47,0.524823,0.949645,0.424823,0.612759,0.406593,0.458629
openai/gpt-4.1-mini,0.6-0.8,549,61,0.803279,0.963388,0.161749,0.186405,0.472422,0.196721
openai/gpt-4.1-mini,0.8-1.0,639,71,0.946792,0.969640,0.024726,0.086179,0.276033,0.053208
x-ai/grok-4.3,0.0-0.2,495,55,0.389899,0.633434,0.243535,0.404293,0.795054,0.042424
x-ai/grok-4.3,0.2-0.4,306,34,0.905229,0.833007,0.072876,0.041677,0.722457,0.022876
x-ai/grok-4.3,0.4-0.6,324,36,0.932099,0.871296,0.074691,0.010766,0.872366,0.009259
x-ai/grok-4.3,0.6-0.8,495,55,0.945455,0.895859,0.049596,0.023915,0.692743,0.028283
x-ai/grok-4.3,0.8-1.0,630,70,0.990476,0.907937,0.093016,0.000096,0.996261,0.000000
