ar_side,mean_ece_gap
Dream-v0-Ins|LLaDA-8B-Ins|diffusiongem,-0.086132
Dream-v0-Ins|LLaDA-8B-Ins|gemini-2.5-f,-0.047452
Dream-v0-Ins|LLaDA-8B-Ins|mercury-2,0.017583
Dream-v0-Ins|LLaDA-8B-Ins|gpt-4.1-mini,-0.088706
Dream-v0-Ins|LLaDA-8B-Ins|grok-4.3,0.043423
Dream-v0-Ins|diffusiongem|gemini-2.5-f,-0.035806
Dream-v0-Ins|diffusiongem|mercury-2,0.020618
Dream-v0-Ins|diffusiongem|gpt-4.1-mini,0.004124
Dream-v0-Ins|diffusiongem|grok-4.3,0.056972
Dream-v0-Ins|gemini-2.5-f|mercury-2,0.030164
Dream-v0-Ins|gemini-2.5-f|gpt-4.1-mini,0.000978
Dream-v0-Ins|gemini-2.5-f|grok-4.3,0.076969
Dream-v0-Ins|mercury-2|gpt-4.1-mini,0.031009
Dream-v0-Ins|mercury-2|grok-4.3,0.147444
Dream-v0-Ins|gpt-4.1-mini|grok-4.3,0.073793
LLaDA-8B-Ins|diffusiongem|gemini-2.5-f,-0.113809
LLaDA-8B-Ins|diffusiongem|mercury-2,-0.065813
LLaDA-8B-Ins|diffusiongem|gpt-4.1-mini,-0.090839
LLaDA-8B-Ins|diffusiongem|grok-4.3,-0.016774
LLaDA-8B-Ins|gemini-2.5-f|mercury-2,-0.052394
LLaDA-8B-Ins|gemini-2.5-f|gpt-4.1-mini,-0.080754
LLaDA-8B-Ins|gemini-2.5-f|grok-4.3,-0.010095
LLaDA-8B-Ins|mercury-2|gpt-4.1-mini,-0.065742
LLaDA-8B-Ins|mercury-2|grok-4.3,0.057918
LLaDA-8B-Ins|gpt-4.1-mini|grok-4.3,-0.017318
diffusiongem|gemini-2.5-f|mercury-2,-0.033872
diffusiongem|gemini-2.5-f|gpt-4.1-mini,-0.098575
diffusiongem|gemini-2.5-f|grok-4.3,-0.024483
diffusiongem|mercury-2|gpt-4.1-mini,-0.059225
diffusiongem|mercury-2|grok-4.3,0.074426
diffusiongem|gpt-4.1-mini|grok-4.3,0.024505
gemini-2.5-f|mercury-2|gpt-4.1-mini,-0.027653
gemini-2.5-f|mercury-2|grok-4.3,0.067347
mercury-2|gpt-4.1-mini|grok-4.3,0.136851
