dataset,model,family,N,accuracy,mean_confidence,expected_calibration_error,area_under_risk_coverage,brier_score,area_under_roc,high_confidence_wrong_rate
GSM8K,Dream-org/Dream-v0-Instruct-7B,DLM,450,0.326667,0.965646,0.632313,0.665445,0.631990,0.530612,0.620000
GSM8K,GSAI-ML/LLaDA-8B-Instruct,DLM,450,0.526667,0.996000,0.469333,0.449876,0.465733,0.542254,0.473333
GSM8K,google/diffusiongemma-26B-A4B-it,DLM,450,0.842222,0.992222,0.150000,0.140935,0.149444,0.528169,0.148889
GSM8K,google/gemini-2.5-flash,AR,450,0.673333,1.000000,0.326667,0.330394,0.326667,0.500000,0.326667
GSM8K,inception/mercury-2,DLM,450,0.962222,0.989822,0.032044,0.021736,0.038869,0.656772,0.037778
GSM8K,openai/gpt-4.1-mini,AR,450,0.482222,0.996556,0.514333,0.479774,0.513528,0.513499,0.517778
GSM8K,x-ai/grok-4.3,AR,450,0.977778,0.932444,0.048667,0.002841,0.022244,0.861023,0.015556
MedQA,Dream-org/Dream-v0-Instruct-7B,DLM,450,0.626667,0.761074,0.324832,0.395112,0.346846,0.550787,0.226667
MedQA,GSAI-ML/LLaDA-8B-Instruct,DLM,450,0.400000,0.936667,0.536667,0.610787,0.535300,0.452778,0.586667
MedQA,google/diffusiongemma-26B-A4B-it,DLM,450,0.726667,0.971000,0.244333,0.184930,0.243450,0.704831,0.266667
MedQA,google/gemini-2.5-flash,AR,450,0.817778,0.938222,0.120444,0.142901,0.163189,0.547455,0.175556
MedQA,inception/mercury-2,DLM,450,0.873333,0.963600,0.090267,0.027925,0.110751,0.853600,0.102222
MedQA,openai/gpt-4.1-mini,AR,450,0.795556,0.928778,0.133222,0.117986,0.174250,0.649381,0.182222
MedQA,x-ai/grok-4.3,AR,450,0.931111,0.871444,0.085889,0.009431,0.057517,0.903149,0.000000
SimpleQA,Dream-org/Dream-v0-Instruct-7B,DLM,450,0.033333,0.776643,0.740929,0.940848,0.733324,0.637037,0.660000
SimpleQA,GSAI-ML/LLaDA-8B-Instruct,DLM,450,0.046667,0.985333,0.938667,0.917780,0.929433,0.352647,0.953333
SimpleQA,google/diffusiongemma-26B-A4B-it,DLM,450,0.073333,0.985000,0.911667,0.893316,0.898128,0.585132,0.926667
SimpleQA,google/gemini-2.5-flash,AR,450,0.351111,0.964556,0.616111,0.518420,0.601450,0.575538,0.644444
SimpleQA,inception/mercury-2,DLM,450,0.142222,0.745448,0.602920,0.667230,0.477395,0.855121,0.206667
SimpleQA,openai/gpt-4.1-mini,AR,450,0.115556,0.921000,0.805444,0.824584,0.748328,0.642999,0.844444
SimpleQA,x-ai/grok-4.3,AR,450,0.371111,0.593333,0.222222,0.437508,0.244256,0.759209,0.020000
TriviaQA,Dream-org/Dream-v0-Instruct-7B,DLM,450,0.391111,0.857609,0.512053,0.557263,0.511529,0.526001,0.428889
TriviaQA,GSAI-ML/LLaDA-8B-Instruct,DLM,450,0.182222,0.993333,0.811111,0.827715,0.806889,0.510936,0.817778
TriviaQA,google/diffusiongemma-26B-A4B-it,DLM,450,0.568889,0.994333,0.425444,0.360831,0.420306,0.574742,0.431111
TriviaQA,google/gemini-2.5-flash,AR,450,0.964444,0.994444,0.030000,0.004268,0.033000,0.698013,0.035556
TriviaQA,inception/mercury-2,DLM,450,0.786667,0.950748,0.148027,0.042300,0.146865,0.894717,0.104444
TriviaQA,openai/gpt-4.1-mini,AR,450,0.826667,0.959333,0.132667,0.052916,0.144311,0.788927,0.148889
TriviaQA,x-ai/grok-4.3,AR,450,0.962222,0.894222,0.080000,0.003606,0.028000,0.924263,0.004444
TruthfulQA,Dream-org/Dream-v0-Instruct-7B,DLM,450,0.260000,0.711538,0.564685,0.661818,0.552605,0.532298,0.406667
TruthfulQA,GSAI-ML/LLaDA-8B-Instruct,DLM,450,0.313333,0.948667,0.651333,0.759833,0.651133,0.402499,0.666667
TruthfulQA,google/diffusiongemma-26B-A4B-it,DLM,450,0.713333,0.966778,0.253444,0.237158,0.267906,0.537939,0.286667
TruthfulQA,google/gemini-2.5-flash,AR,450,0.824444,0.972444,0.156889,0.153536,0.171178,0.547221,0.175556
TruthfulQA,inception/mercury-2,DLM,450,0.837778,0.952222,0.097347,0.094431,0.127427,0.693800,0.113333
TruthfulQA,openai/gpt-4.1-mini,AR,450,0.764444,0.945556,0.183333,0.119855,0.203533,0.698058,0.235556
TruthfulQA,x-ai/grok-4.3,AR,450,0.900000,0.855667,0.064778,0.099709,0.096439,0.470754,0.060000
