model,family,prompt_condition,N,accuracy,mean_confidence,expected_calibration_error,area_under_risk_coverage,brier_score,high_confidence_wrong_rate
Dream-org/Dream-v0-Instruct-7B,DLM,cautious,750,0.326667,0.651042,0.464931,0.635163,0.468691,0.317333
Dream-org/Dream-v0-Instruct-7B,DLM,neutral,750,0.312000,0.828655,0.580588,0.616287,0.578803,0.500000
Dream-org/Dream-v0-Instruct-7B,DLM,overconfident,750,0.344000,0.965314,0.613849,0.588364,0.613474,0.588000
GSAI-ML/LLaDA-8B-Instruct,DLM,cautious,750,0.297333,0.950400,0.661067,0.638827,0.652213,0.690667
GSAI-ML/LLaDA-8B-Instruct,DLM,neutral,750,0.288000,0.974400,0.686400,0.652009,0.684060,0.708000
GSAI-ML/LLaDA-8B-Instruct,DLM,overconfident,750,0.296000,0.991200,0.695200,0.614455,0.696820,0.700000
google/diffusiongemma-26B-A4B-it,DLM,cautious,750,0.584000,0.972267,0.388267,0.277574,0.385607,0.408000
google/diffusiongemma-26B-A4B-it,DLM,neutral,750,0.584000,0.973467,0.389467,0.288902,0.388853,0.414667
google/diffusiongemma-26B-A4B-it,DLM,overconfident,750,0.586667,0.999867,0.413200,0.319466,0.413080,0.413333
google/gemini-2.5-flash,AR,cautious,750,0.726667,0.958067,0.236733,0.225360,0.250350,0.266667
google/gemini-2.5-flash,AR,neutral,750,0.721333,0.963867,0.242533,0.272229,0.257733,0.278667
google/gemini-2.5-flash,AR,overconfident,750,0.730667,0.999867,0.269200,0.285098,0.269207,0.269333
inception/mercury-2,DLM,cautious,750,0.712000,0.898674,0.176076,0.085076,0.164309,0.074667
inception/mercury-2,DLM,neutral,750,0.722667,0.923989,0.191289,0.079015,0.178908,0.118667
inception/mercury-2,DLM,overconfident,750,0.726667,0.941188,0.208394,0.072095,0.192550,0.145333
openai/gpt-4.1-mini,AR,cautious,750,0.604000,0.926933,0.322933,0.324717,0.333833,0.349333
openai/gpt-4.1-mini,AR,neutral,750,0.597333,0.947267,0.349933,0.302825,0.352010,0.397333
openai/gpt-4.1-mini,AR,overconfident,750,0.589333,0.976533,0.387200,0.344514,0.384527,0.410667
x-ai/grok-4.3,AR,cautious,750,0.825333,0.800800,0.069867,0.046463,0.084867,0.016000
x-ai/grok-4.3,AR,neutral,750,0.836000,0.825200,0.079467,0.038422,0.083707,0.013333
x-ai/grok-4.3,AR,overconfident,750,0.824000,0.862267,0.080400,0.045240,0.100500,0.030667
